id,name,school,class,rarity,attackType,armorType,role,position,weapon,obtainability,imageUrl
hoshino,ホシノ,アビドス,タンク,3,explosive,heavy,striker,,,permanent,
hoshino-mizugi,ホシノ（水着）,アビドス,タンク,3,explosive,heavy,striker,,,permanent,
shiroko,シロコ,アビドス,アタッカー,3,piercing,light,striker,,,permanent,
serika,セリカ,アビドス,アタッカー,2,explosive,light,striker,,,permanent,
nonomi,ノノミ,アビドス,サポーター,2,piercing,light,special,,,permanent,
ayane,アヤネ,アビドス,ヒーラー,2,mystic,light,special,,,permanent,
hasumi,ハスミ,トリニティ,アタッカー,3,explosive,light,striker,,,permanent,
hifumi,ヒフミ,トリニティ,サポーター,3,piercing,light,special,,,permanent,
koharu,コハル,トリニティ,ヒーラー,3,mystic,heavy,special,,,permanent,
hanako,ハナコ,トリニティ,サポーター,3,explosive,light,special,,,permanent,
ako,アコ,トリニティ,サポーター,3,mystic,light,special,,,permanent,
yuuka,ユウカ,トリニティ,タンク,3,explosive,heavy,striker,,,permanent,
tsurugi,ツルギ,トリニティ,アタッカー,3,explosive,heavy,striker,,,permanent,
nodoka,ノドカ,トリニティ,サポーター,3,explosive,light,special,,,permanent,
azusa,アズサ,トリニティ,アタッカー,3,piercing,light,striker,,,permanent,
seia,セイア,トリニティ,サポーター,3,mystic,light,special,,,permanent,
mutsuki,ムツキ,ゲヘナ,T.S,3,explosive,light,special,,,permanent,
haruna,ハルナ,ゲヘナ,アタッカー,3,explosive,special,striker,,,permanent,
kayoko,カヨコ,ゲヘナ,T.S,3,explosive,light,special,,,permanent,
makoto,マコト,ゲヘナ,タンク,3,explosive,heavy,striker,,,permanent,
karin,カリン,ゲヘナ,アタッカー,3,explosive,light,striker,,,permanent,
hina,ヒナ,ゲヘナ,アタッカー,3,explosive,light,striker,,,permanent,
iroha,イロハ,ゲヘナ,アタッカー,3,piercing,light,striker,,,permanent,
junko,ジュンコ,ゲヘナ,サポーター,3,explosive,light,special,,,permanent,
arisu,アリス,ミレニアム,アタッカー,3,mystic,light,striker,,,permanent,
neru,ネル,ミレニアム,アタッカー,3,explosive,heavy,striker,,,permanent,
hibiki,ヒビキ,ミレニアム,サポーター,3,explosive,light,special,,,permanent,
cherino,チェリノ,ミレニアム,タンク,2,explosive,heavy,striker,,,permanent,
izuna,イズナ,ミレニアム,アタッカー,3,piercing,light,striker,,,permanent,
kagari,カガリ,ミレニアム,アタッカー,3,explosive,heavy,striker,,,permanent,
suzumi,スズミ,アリウス,ヒーラー,3,mystic,light,special,,,permanent,
asuna,アスナ,アリウス,アタッカー,3,explosive,light,striker,,,permanent,
shun,シュン,アリウス,アタッカー,3,mystic,light,striker,,,permanent,
maki,マキ,レッドウィンター,ヒーラー,3,mystic,light,special,,,permanent,
michiru,ミチル,レッドウィンター,サポーター,3,explosive,light,special,,,permanent,
utaha,ウタハ,レッドウィンター,アタッカー,3,mystic,light,striker,,,permanent,
hiyori,ヒヨリ,百鬼夜行,アタッカー,3,explosive,light,striker,,,permanent,
akane,アカネ,百鬼夜行,T.S,3,mystic,light,special,,,permanent,
reisa,レイサ,ヴァルキューレ,タンク,3,explosive,heavy,striker,,,permanent,
nagisa,ナギサ,ヴァルキューレ,サポーター,3,explosive,light,special,,,permanent,
saori,サオリ,SRT特務班,アタッカー,3,explosive,light,striker,,,permanent,
arona,アロナ,シャーレ,サポーター,3,mystic,light,special,,,permanent,
